candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,winner2,uncontested,party_id2,state_seat_count,district_vote_count,state_vote_count,district_candidate_count,wasted_votes
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,AZ,0,False,0,0,other,9,324444,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,AZ,0,False,0,0,other,9,324444,2511991,4,0
gallego-64361,gallegor,Ruben,True,Gallego,Ruben Gallego,2,democrat,75.3,75.3,7,AZ,119465,True,1,0,democrat,9,158751,2511991,4,40089
nunez-65621,nuneze,Eve,False,Nunez,Eve Nunez,1,republican,24.7,24.7,7,AZ,39286,False,0,0,republican,9,158751,2511991,4,39286
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,AZ,0,False,0,0,other,9,158751,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,AZ,0,False,0,0,other,9,158751,2511991,4,0
franks-1121,frankst,Trent,True,Franks,Trent Franks,1,republican,68.6,68.6,8,AZ,204942,True,1,0,republican,9,298896,2511991,4,55493
salazar-62718,salazarm,Mark,False,Salazar,Mark Salazar,2,green,31.4,31.4,8,AZ,93954,False,0,0,other,9,298896,2511991,4,93954
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,8,AZ,0,False,0,0,democrat,9,298896,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,8,AZ,0,False,0,0,democrat,9,298896,2511991,4,0
sinema-5418,sinemak,Kyrsten,True,Sinema,Kyrsten Sinema,2,democrat,60.9,60.9,9,AZ,169055,True,1,0,democrat,9,277405,2511991,4,30352
giles-65622,gilesd,Dave,False,Giles,Dave Giles,1,republican,39.1,39.1,9,AZ,108350,False,0,0,republican,9,277405,2511991,4,108350
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,9,AZ,0,False,0,0,other,9,277405,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,9,AZ,0,False,0,0,other,9,277405,2511991,4,0
la-malfa-52531,la_malfad,Doug,True,La Malfa,Doug La Malfa,1,republican,59.1,59.1,1,CA,185448,True,1,0,republican,53,314036,13414018,4,28429
reed-60871,reedj,Jim,False,Reed,Jim Reed,2,democrat,40.9,40.9,1,CA,128588,False,0,0,democrat,53,314036,13414018,4,128588
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,CA,0,False,0,0,other,53,314036,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,CA,0,False,0,0,other,53,314036,13414018,4,0
huffman-62063,huffmanj,Jared,True,Huffman,Jared Huffman,1,democrat,76.9,76.9,2,CA,254194,True,1,0,democrat,53,330766,13414018,4,88810
mensing-63594,mensingd,Dale,False,Mensing,Dale Mensing,2,republican,23.1,23.1,2,CA,76572,False,0,0,republican,53,330766,13414018,4,76572
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,CA,0,False,0,0,other,53,330766,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,CA,0,False,0,0,other,53,330766,13414018,4,0
garamendi-7136,garamendij,John,True,Garamendi,John Garamendi,2,democrat,59.4,59.4,3,CA,152513,True,1,0,democrat,53,256966,13414018,4,24029
cleek-65008,cleeke,Eugene,False,Cleek,Eugene Cleek,1,republican,40.6,40.6,3,CA,104453,False,0,0,republican,53,256966,13414018,4,104453
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,CA,0,False,0,0,other,53,256966,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,CA,0,False,0,0,other,53,256966,13414018,4,0
mcclintock-52499,mcclintockt,Tom,True,McClintock,Tom McClintock,2,republican,62.7,62.7,4,CA,220133,True,1,0,republican,53,350978,13414018,4,44643
derlet-65010,derletr,Robert,False,Derlet,Bob Derlet,1,democrat,37.3,37.3,4,CA,130845,False,0,0,democrat,53,350978,13414018,4,130845
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,CA,0,False,0,0,other,53,350978,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,CA,0,False,0,0,other,53,350978,13414018,4,0
thompson-1115,thompsonm,Mike,True,Thompson,Mike Thompson,2,democrat,76.9,76.9,5,CA,224526,True,1,0,democrat,53,292091,13414018,4,78480
santamaria-65014,santamariac,Carlos,False,Santamaria,Carlos Santamaria,1,republican,23.1,23.1,5,CA,67565,False,0,0,republican,53,292091,13414018,4,67565
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,CA,0,False,0,0,other,53,292091,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,CA,0,False,0,0,other,53,292091,13414018,4,0
matsui-51416,matsuid,Doris,True,Matsui,Doris Matsui,2,democrat,75.4,75.4,6,CA,177565,True,1,0,democrat,53,235413,13414018,4,59858
evans-65101,evansr,Robert,False,Evans,Robert Evans,1,republican,24.6,24.6,6,CA,57848,False,0,0,republican,53,235413,13414018,4,57848
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,CA,0,False,0,0,other,53,235413,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,CA,0,False,0,0,other,53,235413,13414018,4,0
bera-60686,beraa,Ami,True,Bera,Ami Bera,1,democrat,51.2,51.2,7,CA,152133,True,1,0,democrat,53,297301,13414018,4,3482
jones-65102,joness,Scott,False,Jones,Scott Jones,2,republican,48.8,48.8,7,CA,145168,False,0,0,republican,53,297301,13414018,4,145168
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,CA,0,False,0,0,other,53,297301,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,CA,0,False,0,0,other,53,297301,13414018,4,0
cook-62339,cookp,Paul,True,Cook,Paul Cook,1,republican,62.3,62.3,8,CA,136972,True,1,0,republican,53,220007,13414018,4,26968
ramirez-65019,ramirezr,Rita,False,Ramirez,Rita Ramirez,2,democrat,37.7,37.7,8,CA,83035,False,0,0,democrat,53,220007,13414018,4,83035
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,8,CA,0,False,0,0,other,53,220007,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,8,CA,0,False,0,0,other,53,220007,13414018,4,0
mcnerney-50403,mcnerneyj,Jerry,True,McNerney,Jerry McNerney,2,democrat,57.4,57.4,9,CA,133163,True,1,0,democrat,53,232155,13414018,4,17085
amador-63605,amadort,Tony,False,Amador,Tony Amador,1,republican,42.6,42.6,9,CA,98992,False,0,0,republican,53,232155,13414018,4,98992
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,9,CA,0,False,0,0,other,53,232155,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,9,CA,0,False,0,0,other,53,232155,13414018,4,0
denham-52493,denhamj,Jeff,True,Denham,Jeff Denham,1,republican,51.7,51.7,10,CA,124671,True,1,0,republican,53,241141,13414018,4,4100
eggman-63608,eggmanm,Michael,False,Eggman,Michael Eggman,2,democrat,48.3,48.3,10,CA,116470,False,0,0,democrat,53,241141,13414018,4,116470
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,10,CA,0,False,0,0,other,53,241141,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,10,CA,0,False,0,0,other,53,241141,13414018,4,0
desaulnier-60108,desaulnierm,Mark,True,DeSaulnier,Mark DeSaulnier,1,democrat,72.1,72.1,11,CA,214868,True,1,0,democrat,53,298209,13414018,4,65763
petersen-58712,petersenr,Roger,False,Petersen,Roger Allen Petersen,2,republican,27.9,27.9,11,CA,83341,False,0,0,republican,53,298209,13414018,4,83341
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,11,CA,0,False,0,0,other,53,298209,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,11,CA,0,False,0,0,other,53,298209,13414018,4,0
pelosi-24,pelosin,Nancy,True,Pelosi,Nancy Pelosi,1,democrat,80.9,80.9,12,CA,274035,True,1,0,democrat,53,338845,13414018,4,104612
picus-65023,picusp,Preston,False,Picus,Preston Picus,2,independent,19.1,19.1,12,CA,64810,False,0,0,other,53,338845,13414018,4,64810
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,12,CA,0,False,0,0,republican,53,338845,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,12,CA,0,False,0,0,republican,53,338845,13414018,4,0
lee-28,leeb,Barbara,True,Lee,Barbara Lee,2,democrat,90.8,90.8,13,CA,293117,True,1,0,democrat,53,322871,13414018,4,131681
caro-65024,caros,Sue,False,Caro,Sue Caro,1,republican,9.2,9.2,13,CA,29754,False,0,0,republican,53,322871,13414018,4,29754
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,13,CA,0,False,0,0,other,53,322871,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,13,CA,0,False,0,0,other,53,322871,13414018,4,0
speier-52489,speierj,Jackie,True,Speier,Jackie Speier,2,democrat,80.9,80.9,14,CA,231630,True,1,0,democrat,53,286447,13414018,4,88406
cardenas-65579,cardenasa,Angel,False,Cardenas,Angel Cardenas,1,republican,19.1,19.1,14,CA,54817,False,0,0,republican,53,286447,13414018,4,54817
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,14,CA,0,False,0,0,other,53,286447,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,14,CA,0,False,0,0,other,53,286447,13414018,4,0
swalwell-62343,swalwelle,Eric,True,Swalwell,Eric Swalwell,1,democrat,73.8,73.8,15,CA,198578,True,1,0,democrat,53,269197,13414018,4,63979
turner-65025,turnerd,Danny,False,Turner,Danny Turner,2,republican,26.2,26.2,15,CA,70619,False,0,0,republican,53,269197,13414018,4,70619
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,15,CA,0,False,0,0,other,53,269197,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,15,CA,0,False,0,0,other,53,269197,13414018,4,0
costa-6818,costaj,Jim,True,Costa,Jim Costa,1,democrat,58.0,58.0,16,CA,97473,True,1,0,democrat,53,167956,13414018,4,13494
tacherra-62837,tacherraj,Johnny,False,Tacherra,Johnny Tacherra,2,republican,42.0,42.0,16,CA,70483,False,0,0,republican,53,167956,13414018,4,70483
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,16,CA,0,False,0,0,other,53,167956,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,16,CA,0,False,0,0,other,53,167956,13414018,4,0
khanna-7547,khannar,Ro,False,Khanna,Ro Khanna,2,democrat,61.0,61.0,17,CA,142268,True,1,0,democrat,53,233192,13414018,6,25671
honda-1206,hondam,Mike,True,Honda,Mike Honda,1,democrat,39.0,39.0,17,CA,90924,False,0,0,democrat,53,233192,13414018,6,90924
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,17,CA,0,False,0,0,republican,53,233192,13414018,6,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,17,CA,0,False,0,0,other,53,233192,13414018,6,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,17,CA,0,False,0,0,republican,53,233192,13414018,6,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,17,CA,0,False,0,0,other,53,233192,13414018,6,0
eshoo-43,eshooa,Anna,True,Eshoo,Anna Eshoo,1,democrat,71.1,71.1,18,CA,230460,True,1,0,democrat,53,323930,13414018,4,68494
fox-63628,foxr,Richard,False,Fox,Richard Fox,2,republican,28.9,28.9,18,CA,93470,False,0,0,republican,53,323930,13414018,4,93470
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,18,CA,0,False,0,0,other,53,323930,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,18,CA,0,False,0,0,other,53,323930,13414018,4,0
lofgren-49,lofgrenz,Zoe,True,Lofgren,Zoe Lofgren,2,democrat,73.9,73.9,19,CA,181802,True,1,0,democrat,53,245863,13414018,4,58870
lancaster-65029,lancasterb,Burt,False,Lancaster,G. Burt Lancaster,1,republican,26.1,26.1,19,CA,64061,False,0,0,republican,53,245863,13414018,4,64061
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,19,CA,0,False,0,0,other,53,245863,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,19,CA,0,False,0,0,other,53,245863,13414018,4,0
panetta-65030,panettaj,Jimmy,False,Panetta,Jimmy Panetta,2,democrat,70.8,70.8,20,CA,180980,True,1,0,democrat,53,255791,13414018,4,53084
lucius-65031,luciusc,Casey,False,Lucius,Casey Lucius,1,republican,29.2,29.2,20,CA,74811,False,0,0,republican,53,255791,13414018,4,74811
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,20,CA,0,False,0,0,other,53,255791,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,20,CA,0,False,0,0,other,53,255791,13414018,4,0
valadao-62229,valadaod,David,True,Valadao,David Valadao,2,republican,56.7,56.7,21,CA,75126,True,1,0,republican,53,132408,13414018,4,8921
huerta-65034,huertae,Emilio,False,Huerta,Emilio Huerta,1,democrat,43.3,43.3,21,CA,57282,False,0,0,democrat,53,132408,13414018,4,57282
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,21,CA,0,False,0,0,other,53,132408,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,21,CA,0,False,0,0,other,53,132408,13414018,4,0
nunes-67,nunesd,Devin,True,Nunes,Devin Nunes,2,republican,67.6,67.6,22,CA,158755,True,1,0,republican,53,234966,13414018,4,41271
campos-65037,camposl,Louie,False,Campos,Louie Campos,1,democrat,32.4,32.4,22,CA,76211,False,0,0,democrat,53,234966,13414018,4,76211
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,22,CA,0,False,0,0,other,53,234966,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,22,CA,0,False,0,0,other,53,234966,13414018,4,0
mccarthy-52561,mccarthyk,Kevin,True,McCarthy,Kevin McCarthy,1,republican,69.2,69.2,23,CA,167116,True,1,0,republican,53,241584,13414018,4,46323
reed-65039,reedw,Wendy,False,Reed,Wendy Reed,2,democrat,30.8,30.8,23,CA,74468,False,0,0,democrat,53,241584,13414018,4,74468
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,23,CA,0,False,0,0,other,53,241584,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,23,CA,0,False,0,0,other,53,241584,13414018,4,0
carbajal-65043,carbajals,Salud,False,Carbajal,Salud Carbajal,1,democrat,53.4,53.4,24,CA,166034,True,1,0,democrat,53,310814,13414018,4,10626
fareed-63635,fareedj,Justin,False,Fareed,Justin Fareed,2,republican,46.6,46.6,24,CA,144780,False,0,0,republican,53,310814,13414018,4,144780
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,24,CA,0,False,0,0,other,53,310814,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,24,CA,0,False,0,0,other,53,310814,13414018,4,0
knight-63641,knights,Steve,True,Knight,Steve Knight,2,republican,53.1,53.1,25,CA,138755,True,1,0,republican,53,261161,13414018,4,8174
caforio-65048,caforiob,Bryan,False,Caforio,Bryan Caforio,1,democrat,46.9,46.9,25,CA,122406,False,0,0,democrat,53,261161,13414018,4,122406
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,25,CA,0,False,0,0,other,53,261161,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,25,CA,0,False,0,0,other,53,261161,13414018,4,0
brownley-62395,brownleyj,Julia,True,Brownley,Julia Brownley,1,democrat,60.4,60.4,26,CA,169248,True,1,0,democrat,53,280307,13414018,4,29094
dagnesses-63644,dagnessesr,Rafael,False,Dagnesses,Rafael Dagnesses,2,republican,39.6,39.6,26,CA,111059,False,0,0,republican,53,280307,13414018,4,111059
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,26,CA,0,False,0,0,other,53,280307,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,26,CA,0,False,0,0,other,53,280307,13414018,4,0
chu-52450,chuj,Judy,True,Chu,Judy Chu,1,democrat,67.4,67.4,27,CA,168977,True,1,0,democrat,53,250632,13414018,4,43660
orswell-62396,orswellj,Jack,False,Orswell,Jack Orswell,2,republican,32.6,32.6,27,CA,81655,False,0,0,republican,53,250632,13414018,4,81655
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,27,CA,0,False,0,0,other,53,250632,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,27,CA,0,False,0,0,other,53,250632,13414018,4,0
schiff-89,schiffa,Adam,True,Schiff,Adam Schiff,1,democrat,78.0,78.0,28,CA,210883,True,1,0,democrat,53,270409,13414018,4,75678
solis-65051,solisl,Lenore,False,Solis,Lenore Solis,2,republican,22.0,22.0,28,CA,59526,False,0,0,republican,53,270409,13414018,4,59526
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,28,CA,0,False,0,0,other,53,270409,13414018,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,28,CA,0,False,0,0,other,53,270409,13414018,4,0
cardenas-6688,cardenast,Tony,True,Cardenas,Tony Cárdenas,2,democrat,74.7,74.7,29,CA,128407,True,1,0,democrat,53,171824,13414018,6,42494
alarcon-52500,alarconr,Richard,False,Alarcon,Richard Alarcon,1,democrat,25.3,25.3,29,CA,43417,False,0,0,democrat,53,171824,13414018,6,43417
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,29,CA,0,False,0,0,republican,53,171824,13414018,6,0
